EEG,alpha,beta,delta,theta
-5.719,0.600267,-2.19075,2.07056,0.23305
-4.94385,0.269388,-1.5761,2.11913,0.237182
-3.83301,-0.121834,-0.605216,2.15973,0.248479
-3.13111,-0.530447,0.563779,2.19233,0.264145
-1.92261,-0.907755,1.66418,2.21699,0.280833
-0.744629,-1.20553,2.33428,2.23386,0.294898
-0.317383,-1.38253,2.27152,2.24317,0.302669
-2.14234,-1.41046,1.42707,2.24523,0.300738
-4.25415,-1.27836,0.0847741,2.24043,0.286235
-5.17578,-0.994877,-1.25274,2.22922,0.257075
-3.76587,-0.587879,-2.10481,2.21209,0.212136
-2.6001,-0.101478,-2.22567,2.18962,0.151355
-2.69776,0.409215,-1.66813,2.16239,0.0757684
-3.73535,0.884851,-0.692699,2.13104,-0.0124972
-2.92969,1.26923,0.383135,2.09621,-0.110308
-0.0488282,1.51637,1.29032,2.05856,-0.213688
3.00904,1.5964,1.83487,2.01874,-0.318042
3.36914,1.49933,1.89116,1.97739,-0.418423
1.08032,1.23632,1.42164,1.93513,-0.509819
-1.33057,0.838098,0.528104,1.89255,-0.587471
-2.89307,0.350936,-0.524619,1.8502,-0.647186
-3.19824,-0.169176,-1.37454,1.80858,-0.685611
-3.71704,-0.66348,-1.71432,1.76813,-0.700443
-3.72925,-1.07757,-1.44649,1.72923,-0.690567
-4.20532,-1.36782,-0.739435,1.6922,-0.65612
-4.69361,-1.50621,0.059646,1.65727,-0.598491
-4.18091,-1.48307,0.605956,1.6246,-0.520248
-3.21045,-1.30733,0.726525,1.59428,-0.425008
-2.948,-1.00458,0.486404,1.56632,-0.317246
-3.18604,-0.613068,0.127932,1.54065,-0.202053
-2.7832,-0.178527,-0.0711999,1.51713,-0.0848341
-0.299072,0.251691,0.0555109,1.49555,0.0290057
2.37427,0.634224,0.476333,1.47563,0.134375
3.54614,0.934319,0.96474,1.45702,0.226778
2.32544,1.12893,1.1931,1.43933,0.302553
1.37329,1.20805,0.889861,1.42208,0.359056
1.25122,1.17434,0.00371669,1.40479,0.394801
1.26953,1.04133,-1.20813,1.38692,0.40955
-0.524903,0.830527,-2.24265,1.36792,0.404325
-3.43018,0.567978,-2.57313,1.34724,0.381328
-5.0232,0.28077,-1.93522,1.32434,0.343772
-2.82593,-0.00595062,-0.510489,1.29866,0.295635
1.53809,-0.271114,1.12747,1.26968,0.241395
4.19922,-0.498874,2.3013,1.23691,0.185751
2.52686,-0.67879,2.58972,1.19991,0.133354
-0.164795,-0.805249,2.03266,1.15829,0.0885476
-0.903321,-0.876367,1.04843,1.11173,0.0550985
0.65918,-0.892741,0.126159,1.05996,0.0359345
2.4231,-0.856399,-0.483976,1.00282,0.0329178
1.53809,-0.770198,-0.861573,0.940193,0.0466948
-0.805665,-0.637756,-1.23549,0.87208,0.0766433
-3.43628,-0.463854,-1.69143,0.798549,0.120907
-4.74243,-0.255115,-2.0179,0.719763,0.176504
-3.76587,-0.0207282,-1.8338,0.63598,0.239498
-0.585938,0.227025,-0.913436,0.547548,0.305224
2.4231,0.472698,0.54626,0.454912,0.368559
4.30298,0.698232,1.94764,0.358605,0.424209
4.5105,0.884215,2.62457,0.259244,0.467004
3.43018,1.01177,2.26659,0.157521,0.492205
2.81372,1.06485,1.13167,0.054198,0.495807
3.39356,1.03252,-0.115389,-0.0499025,0.474831
