EEG,alpha,beta,delta,theta
1.99585,-0.605055,0.783893,0.500806,0.960817
0.317383,-0.252449,-1.96489,0.593859,0.898936
-1.55029,0.150443,-3.50373,0.682394,0.782229
-1.3916,0.559643,-3.36246,0.765353,0.616059
0.0915528,0.927385,-1.97494,0.841685,0.408548
1.5686,1.208,-0.293213,0.910359,0.170232
1.28174,1.36394,0.838702,0.970375,-0.0864125
0.12207,1.37097,1.14582,1.02079,-0.347559
-0.286865,1.22194,0.954074,1.06072,-0.598729
0.341797,0.928372,0.825535,1.08939,-0.825578
1.64795,0.519749,1.08199,1.10609,-1.0147
1.86768,0.0404646,1.55216,1.11025,-1.15441
1.83716,-0.455274,1.70486,1.10142,-1.23533
0.183106,-0.909946,1.06001,1.07927,-1.251
-2.32544,-1.26982,-0.414734,1.04364,-1.19822
-5.41993,-1.49176,-2.19549,0.994494,-1.07731
-7.8064,-1.54875,-3.45627,0.931971,-0.892225
-8.44727,-1.43336,-3.52311,0.856346,-0.650368
-5.53589,-1.15876,-2.2475,0.768046,-0.362318
-0.665284,-0.756974,-0.0868254,0.667654,-0.0413418
3.60108,-0.27488,2.12892,0.5559,0.297216
4.77295,0.231639,3.58616,0.433663,0.636668
4.17481,0.704588,3.81755,0.301963,0.959821
4.13819,1.09095,2.83438,0.161947,1.24987
4.89502,1.34907,1.05498,0.0148823,1.49128
4.56543,1.45347,-0.886972,-0.137859,1.67057
2.4292,1.39756,-2.36191,-0.294809,1.77706
-0.341797,1.19385,-2.93745,-0.454425,1.80346
-2.0752,0.871732,-2.51524,-0.615107,1.74626
-2.58179,0.473216,-1.37234,-0.775219,1.60605
-2.20337,0.047172,-0.0606055,-0.933101,1.3875
-1.69678,-0.357011,0.838426,-1.08709,1.09923
-2.72827,-0.695468,1.01121,-1.23553,0.753356
-5.23072,-0.934842,0.594526,-1.3768,0.36499
-7.2815,-1.05566,0.099199,-1.50933,-0.0485261
-6.90308,-1.05384,0.0773592,-1.63163,-0.468396
-4.24195,-0.940176,0.720976,-1.74227,-0.875286
-0.55542,-0.73802,1.66614,-1.83998,-1.25029
0.372315,-0.47949,2.17512,-1.92356,-1.57587
-1.75171,-0.200808,1.61933,-1.99198,-1.8368
-6.7627,0.0626141,-0.0425543,-2.04433,-2.02087
-10.4431,0.280662,-2.12946,-2.07988,-2.1195
-10.9497,0.432019,-3.57536,-2.09807,-2.12818
-8.86231,0.50623,-3.55059,-2.09852,-2.04664
-5.68848,0.504191,-1.97493,-2.08101,-1.87891
-3.57056,0.437112,0.411083,-2.04554,-1.63301
-2.38037,0.324192,2.46378,-1.99227,-1.32064
-2.67334,0.189365,3.27541,-1.92157,-0.956544
-3.25928,0.0575906,2.63743,-1.83397,-0.557735
-2.61231,-0.0487754,1.06751,-1.73019,-0.142665
-0.701905,-0.113023,-0.566083,-1.61113,0.269735
0.189209,-0.126208,-1.54635,-1.47782,0.660983
-1.31226,-0.088143,-1.62566,-1.33144,1.01393
-2.11182,-0.00719797,-1.02078,-1.1733,1.31358
-0.585938,0.101063,-0.173324,-1.00484,1.54778
2.948,0.216213,0.516624,-0.827579,1.70783
4.56543,0.315927,0.826854,-0.643133,1.78891
2.02026,0.379171,0.707014,-0.453176,1.79026
-1.11084,0.389235,0.2233,-0.259422,1.71513
-2.2461,0.336231,-0.463291,-0.0636056,1.57047
-1.63574,0.218787,-1.09254,0.132535,1.36639
-1.33057,0.044733,-1.34845,0.327274,1.11563
-1.98364,-0.169368,-0.994908,0.518922,0.832795
-2.64282,-0.399821,-0.0466683,0.705846,0.533575
-0.8667,-0.618426,1.15548,0.886489,0.233839
1.7334,-0.795827,2.06273,1.05938,-0.0512201
2.53296,-0.905192,2.19668,1.22317,-0.307852
0.775147,-0.925783,1.42725,1.37661,-0.524427
-1.74561,-0.845954,0.0671049,1.51859,-0.692017
-2.96631,-0.665216,-1.28935,1.64811,-0.804847
-2.0752,-0.395062,-2.08596,1.76436,-0.860565
-0.744629,-0.0584157,-2.08384,1.86666,-0.860283
0.415039,0.31232,-1.43451,1.95449,-0.808383
0.592041,0.678473,-0.526853,2.0275,-0.712155
0.476075,0.999265,0.266269,2.0855,-0.581309
1.22681,1.23648,0.770238,2.12846,-0.427363
3.79639,1.3591,1.02235,2.15652,-0.262886
5.63965,1.34733,1.14737,2.16995,-0.100676
6.23169,1.19552,1.21107,2.16919,0.0470559
4.8645,0.91351,1.15987,2.1548,0.169407
3.83911,0.526181,0.87533,2.12745,0.257424
3.34473,0.0712125,0.288904,2.08794,0.304633
1.52588,-0.404737,-0.527938,2.03717,0.307428
-1.44653,-0.851036,-1.35425,1.97612,0.265285
-4.3335,-1.21877,-1.89319,1.90582,0.18078
-4.99268,-1.46646,-1.89272,1.82739,0.0594186
-4.17481,-1.56517,-1.26593,1.74195,-0.090709
-3.36304,-1.50221,-0.165348,1.65065,-0.259417
-2.9541,-1.2829,1.02968,1.55465,-0.435036
-2.6001,-0.930247,1.83705,1.45507,-0.605103
-1.39771,-0.482371,1.88638,1.35304,-0.75709
-1.18408,0.0118386,1.13436,1.24961,-0.879142
-1.72119,0.498429,-0.0515471,1.1458,-0.960826
-1.58692,0.924684,-1.03729,1.04257,-0.993832
-0.903321,1.24524,-1.26237,0.940807,-0.972527
1.34277,1.42722,-0.595794,0.841295,-0.894337
2.9419,1.45385,0.530292,0.744742,-0.759938
3.90625,1.32609,1.3422,0.651753,-0.573276
2.78931,1.0621,1.20673,0.56284,-0.341422
0.256348,0.694836,0.0765594,0.478406,-0.0742405
-2.19727,0.267856,-1.41623,0.398752,0.216098
-3.49732,-0.169962,-2.32477,0.324073,0.515748
-2.31934,-0.570244,-2.00192,0.254471,0.809925
2.122E-314,-0.890681,-0.557163,0.189957,1.0837
1.94702,-1.09962,1.17681,0.130461,1.32277
2.81983,-1.17916,2.17622,0.0758282,1.51428
1.61133,-1.12656,1.90859,0.0258342,1.64744
-0.201416,-0.953726,0.688225,-0.0198091,1.71415
-0.897217,-0.685181,-0.559098,-0.0614376,1.7094
1.32446,-0.354653,-0.966541,-0.099423,1.63163
4.74243,-0.000898863,-0.352503,-0.134162,1.4828
5.33448,0.33673,0.657245,-0.166068,1.2683
3.19214,0.622491,1.1102,-0.195559,0.996791
-0.579834,0.827814,0.463337,-0.223048,0.67969
-2.22168,0.933877,-0.970983,-0.248924,0.330624
-2.72217,0.932975,-2.21209,-0.273541,-0.0352818
-3.61328,0.828624,-2.30958,-0.297207,-0.4021
-3.37525,0.63458,-1.04778,-0.32018,-0.753796
-1.27564,0.373019,0.864358,-0.342666,-1.07495
0.0671387,0.072155,2.26647,-0.364806,-1.35147
-0.701905,-0.236508,2.34432,-0.38667,-1.57133
-4.05884,-0.521046,1.17486,-0.408256,-1.72516
-6.48804,-0.751911,-0.368644,-0.429491,-1.80668
-5.35279,-0.904473,-1.26496,-0.45023,-1.81303
-2.58179,-0.961202,-1.05858,-0.470256,-1.74485
-0.439453,-0.913391,-0.120665,-0.489275,-1.60616
-0.189209,-0.762258,0.704917,-0.506922,-1.40416
-1.07422,-0.519328,0.769278,-0.522769,-1.1488
-2.2583,-0.205959,0.0815494,-0.536334,-0.852206
-2.64282,0.148032,-0.765896,-0.54709,-0.528109
-1.71509,0.506671,-1.11244,-0.55448,-0.191108
1.03149,0.831015,-0.752504,-0.557924,0.144025
3.8208,1.08301,-0.0540006,-0.556835,0.463047
3.75366,1.22971,0.397065,-0.550627,0.752897
0.98877,1.24736,0.308887,-0.538731,1.00228
-1.51978,1.12492,-0.0801251,-0.52061,1.20211
0.32959,0.866571,-0.234283,-0.495773,1.34585
4.57154,0.492517,0.180719,-0.463785,1.42968
6.81763,0.0380191,0.961616,-0.42428,1.45253
4.47388,-0.44958,1.49112,-0.376971,1.416
0.378418,-0.91559,1.23699,-0.321663,1.32422
-2.26441,-1.30406,0.221295,-0.25827,1.18354
-1.3794,-1.5646,-0.939997,-0.18682,1.00213
0.164795,-1.65914,-1.48901,-0.10746,0.789547
0.775147,-1.56752,-1.12656,-0.0204628,0.556113
0.0854493,-1.29116,-0.275144,0.0737783,0.31241
-1.30615,-0.854155,0.23595,0.174739,0.0687503
-2.10571,-0.301477,-0.151186,0.281765,-0.165263
-2.34375,0.305572,-1.20473,0.394067,-0.381121
-2.33154,0.896338,-1.9785,0.510734,-0.571704
-0.665284,1.39941,-1.47963,0.630734,-0.731481
4.6814,1.75173,0.531741,0.752931,-0.856602
11.3342,1.907,3.20444,0.876086,-0.944897
13.8489,1.84218,5.01091,0.998876,-0.995811
10.4614,1.56118,4.6799,1.1199,-1.01026
3.9917,1.09507,2.03958,1.23771,-0.990432
-0.775147,0.498708,-1.79079,1.35081,-0.939586
-2.9419,-0.155911,-4.99599,1.4577,-0.86177
-3.83301,-0.788745,-6.07251,1.55685,-0.761583
-3.49732,-1.32207,-4.62864,1.64679,-0.643915
-1.42212,-1.69069,-1.51936,1.72605,-0.513695
0.683594,-1.85053,1.70543,1.79325,-0.375635
2.12402,-1.78446,3.65709,1.84705,-0.234014
1.69678,-1.50443,3.76197,1.88622,-0.0925464
2.02026,-1.04979,2.39779,1.90965,0.0456544
3.21045,-0.481888,0.535938,1.91638,0.178029
4.46167,0.124304,-0.832379,1.90555,0.302493
5.10865,0.69038,-1.16271,1.87653,0.417359
5.79224,1.14512,-0.526457,1.82882,0.521275
7.44629,1.43395,0.523204,1.76213,0.613156
9.49097,1.52598,1.26863,1.67636,0.692091
8.66089,1.41766,1.17365,1.57162,0.757211
5.08423,1.13253,0.128968,1.44825,0.807577
0.8667,0.71721,-1.48574,1.30678,0.842119
-2.81372,0.234032,-2.94971,1.14796,0.859641
-4.21753,-0.248196,-3.51434,0.97275,0.858887
-3.84522,-0.664066,-2.75917,0.78232,0.838618
-1.72119,-0.960553,-0.823638,0.578031,0.797727
2.00195,-1.10393,1.61525,0.361435,0.735376
4.43116,-1.08373,3.62866,0.134256,0.651173
5.46265,-0.913163,4.44978,-0.10163,0.545336
4.69361,-0.626081,3.80567,-0.344212,0.418836
2.75269,-0.270984,2.00373,-0.591374,0.273504
1.26343,0.0967829,-0.249572,-0.840912,0.112107
0.0549317,0.423396,-2.17843,-1.09055,-0.06165
-1.33667,0.664288,-3.23947,-1.33799,-0.24319
-2.97852,0.790168,-3.26925,-1.58086,-0.427183
-5.33448,0.790506,-2.45574,-1.81684,-0.607677
-6.15235,0.674013,-1.1966,-2.04361,-0.778241
-5.75562,0.466191,0.0708722,-2.2589,-0.932175
-4.54712,0.204463,1.00985,-2.46054,-1.06282
-3.71094,-0.0682341,1.46827,-2.64645,-1.16393
-4.02222,-0.310328,1.49448,-2.81472,-1.23004
-4.57764,-0.487902,1.27649,-2.96354,-1.25685
-4.3274,-0.579425,1.01983,-3.09132,-1.24142
-3.09448,-0.578253,0.820853,-3.19663,-1.18249
-1.43433,-0.492623,0.617109,-3.27828,-1.08052
-0.646973,-0.343308,0.262404,-3.33526,-0.937856
-1.09863,-0.159456,-0.314205,-3.36683,-0.758665
-3.1189,0.0266941,-0.985864,-3.37249,-0.548861
-4.83399,0.185327,-1.45764,-3.35199,-0.315914
-4.58985,0.293867,-1.45738,-3.30535,-0.0685356
-1.68457,0.340264,-0.958221,-3.23286,0.183688
-0.378418,0.324275,-0.247834,-3.13506,0.430718
-1.89209,0.256642,0.246279,-3.01274,0.662513
-4.11377,0.156463,0.275472,-2.86697,0.869513
-4.19922,0.0472508,-0.00842788,-2.69902,1.04312
-0.878907,-0.0475661,-0.131404,-2.51038,1.1761
2.63062,-0.108954,0.33551,-2.30275,1.26296
4.22364,-0.125644,1.37033,-2.07804,1.3002
5.09644,-0.0960151,2.38068,-1.8383,1.28654
5.59082,-0.028179,2.523,-1.58575,1.22302
4.26636,0.0617224,1.29385,-1.32272,1.11293
1.75171,0.15266,-1.00893,-1.05164,0.961712
-2.75879,0.22271,-3.31755,-0.775013,0.776661
-4.8584,0.253195,-4.3643,-0.495387,0.566602
-2.80152,0.23225,-3.45469,-0.215334,0.341463
1.12915,0.1572,-0.938147,0.0625758,0.111784
4.8584,0.0353217,1.95174,0.335803,-0.111813
4.97437,-0.117127,3.80171,0.601864,-0.319139
3.62549,-0.277427,3.82076,0.858355,-0.500937
1.53809,-0.419975,2.23403,1.10298,-0.64933
0.543213,-0.520344,0.046724,1.33356,-0.758234
1.06812,-0.559226,-1.62315,1.54807,-0.823678
1.85547,-0.52567,-2.18075,1.74467,-0.844026
2.9541,-0.419114,-1.76404,1.92166,-0.820065
2.30103,-0.249832,-0.961001,2.07757,-0.754953
1.63574,-0.037701,-0.309678,2.21111,-0.654009
1.63574,0.19059,0.0348657,2.32123,-0.524379
2.93579,0.405417,0.261335,2.40709,-0.374602
5.23682,0.578558,0.593754,2.46806,-0.214123
6.29273,0.68727,1.01089,2.5038,-0.0527746
6.13404,0.717481,1.23348,2.51414,0.0997666
4.44336,0.665642,0.975862,2.4992,0.234502
2.75269,0.539001,0.233921,2.45929,0.3436
1.74561,0.354347,-0.646339,2.39494,0.420829
2.09961,0.135439,-1.19081,2.30692,0.461918
2.61231,-0.0904708,-1.13821,2.19616,0.464803
1.80664,-0.296524,-0.625169,2.06377,0.429752
-0.341797,-0.459896,-0.0623643,1.91105,0.359336
-1.47095,-0.564626,0.200378,1.73944,0.258286
-1.48926,-0.603279,0.147166,1.55053,0.133217
-0.280762,-0.577313,0.0799679,1.346,-0.00775538
0.323487,-0.496166,0.320724,1.12768,-0.155489
0.134277,-0.375227,0.875688,0.897432,-0.300362
-0.262451,-0.233052,1.35156,0.657209,-0.43284
-0.567627,-0.0883565,1.22322,0.409002,-0.544044
-1.66016,0.0426728,0.269711,0.154835,-0.626293
-3.96729,0.148349,-1.15956,-0.103253,-0.673602
-6.38428,0.222515,-2.28376,-0.36322,-0.682079
-6.61621,0.264594,-2.37576,-0.623041,-0.650172
-3.60108,0.278743,-1.26636,-0.880729,-0.578743
-1.3916,0.272294,0.496179,-1.13435,-0.471004
-0.592041,0.253819,1.96433,-1.38202,-0.332359
-1.2146,0.231163,2.3822,-1.62196,-0.170114
-1.75171,0.209833,1.64667,-1.85244,0.00692663
-2.40479,0.192025,0.325668,-2.07182,0.188983
-4.34571,0.176465,-0.764156,-2.27859,0.365882
-4.04053,0.159038,-1.10847,-2.47133,0.527634
-2.26441,0.134066,-0.785573,-2.6487,0.664985
-1.53809,0.0959262,-0.311292,-2.80952,0.769946
-3.91236,0.0407135,-0.184455,-2.95269,0.836295
-7.60499,-0.0323411,-0.488815,-3.07724,0.860001
-8.45337,-0.119944,-0.847637,-3.18232,0.839506
-6.35376,-0.214572,-0.750632,-3.26721,0.775829
-3.55835,-0.30521,0.00838204,-3.33128,0.672514
-2.50244,-0.378902,1.12206,-3.37403,0.535439
-2.98462,-0.422838,1.94891,-3.39505,0.372505
-4.27246,-0.426597,1.94829,-3.39407,0.193192
-4.56543,-0.384207,1.05078,-3.3709,0.0080177
-5.49317,-0.295651,-0.300243,-3.32547,-0.17209
-6.073,-0.167513,-1.44985,-3.25781,-0.336435
-6.64063,-0.0125684,-1.94085,-3.16806,-0.475199
-6.30494,0.151687,-1.73676,-3.05644,-0.580024
-6.12183,0.305343,-1.1277,-2.92329,-0.64453
-5.52979,0.428862,-0.437174,-2.76901,-0.664712
-4.77906,0.505902,0.212696,-2.59412,-0.639216
-2.53906,0.525786,0.892297,-2.3992,-0.569464
0.408936,0.485252,1.64347,-2.18496,-0.459614
2.82593,0.389144,2.26394,-1.95217,-0.31638
3.77197,0.249827,2.3206,-1.70171,-0.148693
2.88696,0.0853905,1.4328,-1.43455,0.0328005
-0.0976563,-0.0830581,-0.364295,-1.15174,0.216397
-4.11377,-0.234499,-2.46272,-0.854424,0.390055
-6.49414,-0.351033,-3.89836,-0.543857,0.542113
-4.24805,-0.420378,-3.85273,-0.221382,0.661954
0.903321,-0.437467,-2.14269,0.111554,0.740646
3.93677,-0.404869,0.610944,0.453406,0.771543
3.33252,-0.331952,3.25168,0.80254,0.750768
3.90625,-0.232945,4.64387,1.15723,0.677502
6.72608,-0.124259,4.20726,1.51566,0.55406
7.65381,-0.0215186,2.15442,1.87594,0.385793
4.19922,0.0631571,-0.655162,2.23608,0.18087
-2.02637,0.123158,-3.12316,2.59404,-0.0501119
-4.32129,0.15824,-4.3606,2.9477,-0.294672
-1.19629,0.174036,-3.98969,3.29488,-0.539166
3.68653,0.18027,-2.22386,3.63334,-0.769596
7.31202,0.18804,0.251646,3.9608,-0.972421
7.15943,0.206709,2.53254,4.27493,-1.13533
6.4148,0.241035,3.80823,4.57339,-1.24793
7.87354,0.28911,3.65187,4.85384,-1.30241
10.5042,0.341601,2.18777,5.11397,-1.29403
10.3638,0.382596,0.0467476,5.3515,-1.22149
6.25611,0.392086,-1.90487,5.56423,-1.08703
2.30103,0.349816,-2.95527,5.75001,-0.896422
2.23999,0.239904,-2.85688,5.90682,-0.658613
4.53491,0.0554505,-1.88002,6.03274,-0.385322
6.40259,-0.197786,-0.583139,6.12598,-0.0903963
6.75049,-0.499511,0.542358,6.18494,0.210953
6.23169,-0.81539,1.30955,6.20817,0.503008
5.63355,-1.10017,1.80305,6.19445,0.770451
7.25098,-1.30326,2.1328,6.14277,0.99927
8.91114,-1.3762,2.2035,6.0524,1.17759
10.3821,-1.281,1.72154,5.92284,1.29637
9.44214,-0.998081,0.467602,5.75387,1.34993
6.33545,-0.532334,-1.37377,5.54556,1.33627
2.86255,0.0837825,-3.12474,5.29828,1.25719
0.238037,0.790978,-3.91068,5.01271,1.11824
2.18506,1.50801,-3.19377,4.68986,0.928435
8.17872,2.14051,-1.17925,4.33107,0.699725
12.146,2.59286,1.22399,3.93801,0.446325
9.55201,2.7817,2.90949,3.51266,0.18389
5.15137,2.64919,3.22675,3.05732,-0.0713996
3.05176,2.17402,2.33811,2.57461,-0.303809
4.13208,1.37836,1.03124,2.06744,-0.499018
4.52881,0.329173,0.126794,1.53896,-0.645021
1.62354,-0.866511,-0.08634,0.992617,-0.732906
-2.2461,-2.07244,0.0214755,0.432065,-0.757439
-5.79834,-3.13878,-0.189752,-0.138829,-0.717427
-8.86841,-3.92095,-1.03632,-0.716017,-0.615824
-11.2244,-4.2992,-2.18441,-1.29531,-0.459611
-11.6699,-4.19635,-2.85739,-1.87239,-0.259446
-9.94263,-3.59099,-2.42975,-2.44289,-0.0291055
-7.40967,-2.5239,-0.951246,-3.00239,0.215286
-4.73633,-1.09656,0.818086,-3.54649,0.456202
-2.50855,0.538449,1.91795,-4.07085,0.675769
-0.592041,2.19441,1.87894,-4.57122,0.856863
1.07422,3.67271,1.07375,-5.04348,0.984185
2.72827,4.78779,0.441169,-5.48369,1.04526
4.56543,5.39144,0.756363,-5.88814,1.03126
8.06885,5.39312,1.97118,-6.25337,0.937688
10.3455,4.77359,3.12632,-6.57622,0.764727
6.40259,3.5896,2.94841,-6.85385,0.517412
-2.85034,1.96893,0.760917,-7.08378,0.205487
-14.1235,0.0960714,-2.90222,-7.26391,-0.157012
-22.583,-1.80995,-6.41856,-7.39259,-0.552414
-25.7691,-3.52263,-7.90606,-7.46857,-0.960302
-24.0967,-4.83657,-6.28085,-7.4911,-1.35859
-19.281,-5.59378,-1.92083,-7.45988,-1.72472
-13.9038,-5.70412,3.45187,-7.37509,-2.03697
-10.0281,-5.15708,7.60042,-7.23742,-2.27565
-6.81153,-4.02329,8.8528,-7.048,-2.42418
-4.58985,-2.44547,6.85772,-6.80848,-2.47005
-3.56446,-0.620101,2.65393,-6.52095,-2.40564
-3.77197,1.22802,-1.92504,-6.18795,-2.2287
-4.90113,2.87468,-5.15094,-5.81247,-1.9427
-5.31006,4.12508,-6.13064,-5.39787,-1.55673
-4.39453,4.83844,-5.03273,-4.94794,-1.08514
-2.34985,4.94528,-2.77591,-4.46676,-0.546867
1.08032,4.45501,-0.42657,-3.95872,0.035469
3.18604,3.45293,1.32825,-3.42849,0.63666
2.88086,2.08729,2.35882,-2.88092,1.23019
2.27051,0.548248,2.88574,-2.32103,1.78953
3.57056,-0.958429,3.09447,-1.75397,2.28951
6.25,-2.23918,2.879,-1.18495,2.70754
7.70264,-3.13824,1.91721,-0.619211,3.02482
5.48706,-3.55746,0.0308078,-0.0619211,3.22724
0.396729,-3.46769,-2.44499,0.481832,3.30604
-3.43628,-2.91051,-4.59998,1.00712,3.25815
-3.71704,-1.99014,-5.3225,1.5092,3.08636
1.15967,-0.857038,-3.9297,1.9836,2.79914
7.49512,0.314555,-0.666521,2.42611,2.41016
12.4329,1.35189,3.2711,2.83287,1.93753
14.8621,2.10807,6.2517,3.20039,1.4028
14.3372,2.48219,6.9889,3.52559,0.829831
11.4929,2.43239,5.14848,3.80581,0.243524
6.35987,1.98028,1.4578,4.03888,-0.331449
-0.45166,1.20644,-2.69586,4.22311,-0.871858
-5.69458,0.237551,-5.9004,4.35729,-1.35702
-9.75342,-0.772699,-7.23012,4.44076,-1.76974
-11.7798,-1.66635,-6.43303,4.47336,-2.09705
-11.5784,-2.30415,-3.83891,4.45547,-2.33072
-8.00782,-2.5855,-0.170248,4.38797,-2.46748
-1.9043,-2.46263,3.61294,4.27226,-2.50891
3.19214,-1.94708,6.45369,4.11021,-2.46104
6.5918,-1.10759,7.42679,3.90417,-2.3337
7.06788,-0.059991,6.08115,3.65691,-2.13977
5.58472,1.0494,2.74796,3.37161,-1.89429
1.16577,2.06449,-1.43124,3.05182,-1.61353
-3.19824,2.84114,-4.89926,2.70143,-1.31396
-4.78516,3.26713,-6.37374,2.32458,-1.01133
-3.83301,3.27737,-5.4657,1.92571,-0.719724
-2.39868,2.86262,-2.84714,1.50939,-0.450873
-2.54517,2.07049,0.152249,1.08037,-0.213549
-4.54102,0.998704,2.27746,0.643442,-0.0132537
-7.76978,-0.218263,2.96104,0.203455,0.147877
-9.86939,-1.42738,2.465,-0.234774,0.270955
-10.3088,-2.47734,1.52777,-0.666496,0.360003
-8.28858,-3.23827,0.81038,-1.08709,0.421411
-7.40357,-3.6182,0.525169,-1.49209,0.463231
-8.91724,-3.57432,0.4481,-1.87726,0.494376
-10.2478,-3.11755,0.220908,-2.23862,0.523794
-10.4004,-2.31011,-0.331688,-2.5725,0.559675
-8.30079,-1.25633,-1.09406,-2.87556,0.60874
-7.64161,-0.0882722,-1.77862,-3.14482,0.675644
-8.63648,1.0519,-2.11497,-3.37773,0.762523
-8.86231,2.03017,-1.94842,-3.57214,0.868714
-6.61011,2.73727,-1.2254,-3.72636,0.990658
-2.36817,3.10146,0.0274527,-3.83916,1.12204
1.07422,3.09605,1.6354,-3.90975,1.25421
1.68457,2.74088,3.16526,-3.93784,1.37678
2.96021,2.09784,3.9425,-3.92356,1.47846
3.60108,1.26117,3.32512,-3.86752,1.54782
1.47095,0.344094,1.15173,-3.77075,1.57417
-4.98658,-0.536516,-1.93591,-3.63472,1.54839
-11.084,-1.27526,-4.61286,-3.46128,1.46367
-13.0615,-1.7911,-5.49584,-3.25268,1.31624
-7.87354,-2.03647,-3.96106,-3.0115,1.10579
-1.57471,-2.00167,-0.629388,-2.74064,0.835804
0.65918,-1.71429,2.86477,-2.44327,0.513516
-0.439453,-1.23371,4.75968,-2.12281,0.149686
-3.55225,-0.641593,4.19083,-1.78285,-0.241864
-5.18799,-0.0297903,1.70092,-1.42715,-0.644877
-5.56641,0.512632,-1.11228,-1.05956,-1.04146
-3.9917,0.911338,-2.59993,-0.684015,-1.41302
-1.7273,1.1162,-2.07431,-0.304463,-1.7413
-0.0793458,1.10719,-0.17854,0.0751688,-2.00947
-0.891114,0.896146,1.60832,0.451016,-2.20304
-3.82691,0.524088,1.98126,0.81932,-2.31079
-5.3711,0.0547375,0.656643,1.17647,-2.32543
-6.91529,-0.434929,-1.4882,1.51905,-2.24425
-8.20923,-0.865629,-3.03907,1.84384,-2.06932
-8.44727,-1.16677,-2.98353,2.14791,-1.80754
-6.37818,-1.28608,-1.33487,2.42857,-1.47037
-1.36108,-1.19676,0.940937,2.68345,-1.07323
1.95923,-0.90112,2.5936,2.91049,-0.634719
2.64893,-0.43053,2.87049,3.10797,-0.175681
2.0752,0.158464,1.90032,3.2745,0.281896
2.48413,0.791253,0.478546,3.40905,0.71599
4.92554,1.38463,-0.533286,3.51093,1.10574
6.79932,1.85735,-0.754591,3.57982,1.43258
7.20826,2.14051,-0.430811,3.61573,1.68132
6.27442,2.18631,-0.138671,3.61899,1.84092
3.87573,1.97448,-0.310676,3.59028,1.90513
0.299072,1.51532,-0.924141,3.53057,1.87277
-3.2898,0.849276,-1.54472,3.44113,1.7478
-4.73023,0.0428849,-1.65283,3.32348,1.53904
-4.32129,-0.818526,-1.00348,3.17941,1.25966
-3.48511,-1.64044,0.217032,3.01093,0.926387
-5.29785,-2.32991,1.50879,2.82021,0.55861
-7.25708,-2.80609,2.33899,2.60959,0.177261
-7.4524,-3.00954,2.39729,2.38156,-0.196327
-5.74341,-2.9092,1.69465,2.13867,-0.541604
-5.13306,-2.50635,0.498725,1.88355,-0.83994
-6.97632,-1.83504,-0.809135,1.61885,-1.07566
-9.41163,-0.958898,-1.86281,1.34723,-1.23692
-9.46656,0.0354409,-2.38891,1.07134,-1.31632
-7.21436,1.04746,-2.24897,0.793754,-1.31129
-4.62647,1.97345,-1.47017,0.516988,-1.22411
-2.05689,2.7176,-0.258895,0.243452,-1.06173
0.250244,3.20217,1.03344,-0.0245671,-0.835294
1.47095,3.37583,2.00941,-0.284926,-0.559501
1.70899,3.21917,2.36368,-0.535646,-0.251665
1.49536,2.74683,1.99828,-0.774924,0.0693057
0.561524,2.00601,1.05683,-1.00115,0.384032
-0.244141,1.07145,-0.13787,-1.21291,0.673799
-3.96118,0.0376403,-1.20903,-1.40898,0.921633
-6.49414,-0.991118,-1.8544,-1.58835,1.11326
-9.29566,-1.91171,-1.93016,-1.75021,1.23791
-9.96094,-2.63307,-1.47248,-1.89396,1.28887
-10.1563,-3.08574,-0.665016,-2.01918,1.26389
-9.55811,-3.22892,0.230132,-2.12565,1.16515
-10.1074,-3.05441,0.958332,-2.21336,0.999139
-10.5713,-2.58695,1.35082,-2.28242,0.776167
-9.40552,-1.88096,1.36642,-2.33313,0.509713
-7.39136,-1.01415,1.07712,-2.36594,0.215592
-5.85328,-0.0786983,0.607909,-2.38142,-0.0890111
-6.98243,0.828919,0.071474,-2.38026,-0.386573
-8.3252,1.6183,-0.457925,-2.36324,-0.660274
-8.09937,2.21453,-0.919434,-2.33122,-0.894986
-5.43824,2.5656,-1.22356,-2.28513,-1.07816
-5.05982,2.64713,-1.24806,-2.22596,-1.20054
-5.98755,2.46386,-0.898657,-2.15471,-1.25664
-7.6233,2.04801,-0.201366,-2.07242,-1.245
-7.52564,1.45462,0.649632,-1.98014,-1.16818
-4.36402,0.754575,1.34654,-1.87889,-1.03252
-1.87988,0.0261467,1.60863,-1.76968,-0.847751
-2.22778,-0.654004,1.32146,-1.6535,-0.626232
-6.81153,-1.21914,0.582533,-1.53129,-0.38219
-11.0474,-1.61917,-0.367581,-1.40395,-0.130815
-10.8399,-1.82508,-1.26277,-1.27233,0.112664
-8.29468,-1.8307,-1.88505,-1.13722,0.333894
-7.38526,-1.65183,-2.06139,-0.999332,0.520275
-9.63135,-1.32291,-1.64086,-0.859333,0.661712
-10.1013,-0.891761,-0.542505,-0.71781,0.751214
-6.90308,-0.413129,1.10533,-0.575291,0.785301
-1.15967,0.058134,2.83676,-0.432244,0.76418
2.55127,0.473394,3.89778,-0.289086,0.691682
2.20947,0.795245,3.55768,-0.146186,0.574975
-2.61841,1.00067,1.56773,-0.00387374,0.424054
-8.6731,1.0821,-1.51939,0.137557,0.251069
-12.1887,1.04651,-4.44413,0.277845,0.069518
-11.9446,0.912775,-5.79447,0.416753,-0.106647
-9.52759,0.707874,-4.75635,0.55406,-0.263949
